"id","estado","cidade","cep"
"1","AC","Acrelândia","69945-000"
"2","AC","Assis Brasil","69935-000"
"3","AC","Brasiléia","69932-000"
"4","AC","Bujari","69926-000"
"5","AC","Capixaba","69931-000"
"6","AC","Cruzeiro do Sul","69980-000"
"7","AC","Epitaciolândia","69934-000"
"8","AC","Feijó","69960-000"
"9","AC","Jordão","69975-000"
"10","AC","Mâncio Lima","69990-000"
"11","AC","Manoel Urbano","69950-000"
"12","AC","Marechal Thaumaturgo","69983-000"
"13","AC","Plácido de Castro","69928-000"
"14","AC","Porto Acre","69927-000"
"15","AC","Porto Walter","69982-000"
"16","AC","Rio Branco","69900-001"
"17","AC","Rodrigues Alves","69985-000"
"18","AC","Santa Rosa do Purus","69955-000"
"19","AC","Sena Madureira","69940-000"
"20","AC","Senador Guiomard","69925-000"
"21","AC","Tarauacá","69970-000"
"22","AC","Xapuri","69930-000"
"23","AL","Água Branca","57490-000"
"24","AL","Anadia","57660-000"
"25","AL","Arapiraca","57300-001"
"26","AL","Atalaia","57690-000"
"27","AL","Barra de Santo Antônio","57925-000"
"28","AL","Barra de São Miguel","57180-000"
"29","AL","Batalha","57420-000"
"30","AL","Belém","57630-000"
"31","AL","Belo Monte","57435-000"
"32","AL","Boca da Mata","57680-000"
"33","AL","Branquinha","57830-000"
"34","AL","Cacimbinhas","57570-000"
"35","AL","Cajueiro","57770-000"
"36","AL","Campestre","57968-000"
"37","AL","Campo Alegre","57250-000"
"38","AL","Campo Grande","57350-000"
"39","AL","Canapi","57530-000"
"40","AL","Capela","57780-000"
"41","AL","Carneiros","57535-000"
"42","AL","Chã Preta","57760-000"
"43","AL","Coité do Nóia","57325-000"
"44","AL","Colônia Leopoldina","57975-000"
"45","AL","Coqueiro Seco","57140-000"
"46","AL","Coruripe","57230-000"
"47","AL","Craíbas","57320-000"
"48","AL","Delmiro Gouveia","57480-000"
"49","AL","Dois Riachos","57560-000"
"50","AL","Estrela de Alagoas","57625-000"
"51","AL","Feira Grande","57340-000"
"52","AL","Feliz Deserto","57220-000"
"53","AL","Flexeiras","57995-000"
"54","AL","Girau do Ponciano","57360-000"
"55","AL","Ibateguara","57890-000"
"56","AL","Igaci","57620-000"
"57","AL","Igreja Nova","57280-000"
"58","AL","Inhapi","57545-000"
"59","AL","Jacaré dos Homens","57430-000"
"60","AL","Jacuípe","57960-000"
"61","AL","Japaratinga","57950-000"
"62","AL","Jaramataia","57425-000"
"63","AL","Jequiá da Praia","57255-000"
"64","AL","Joaquim Gomes","57980-000"
"65","AL","Jundiá","57965-000"
"66","AL","Junqueiro","57270-000"
"67","AL","Lagoa da Canoa","57330-000"
"68","AL","Limoeiro de Anadia","57260-000"
"69","AL","Maceió","57000-001"
"70","AL","Major Isidoro","57580-000"
"71","AL","Mar Vermelho","57730-000"
"72","AL","Maragogi","57955-000"
"73","AL","Maravilha","57520-000"
"74","AL","Marechal Deodoro","57160-000"
"75","AL","Maribondo","57670-000"
"76","AL","Mata Grande","57540-000"
"77","AL","Matriz de Camaragibe","57910-000"
"78","AL","Messias","57990-000"
"79","AL","Minador do Negrão","57615-000"
"80","AL","Monteirópolis","57440-000"
"81","AL","Murici","57820-000"
"82","AL","Novo Lino","57970-000"
"83","AL","Olho D'Água das Flores","57442-000"
"84","AL","Olho D'Água do Casado","57470-000"
"85","AL","Olho D'Água Grande","57390-000"
"86","AL","Olivença","57550-000"
"87","AL","Ouro Branco","57525-000"
"88","AL","Palestina","57410-000"
"89","AL","Palmeira dos Índios","57600-001"
"90","AL","Pão de Açúcar","57400-000"
"91","AL","Pariconha","57475-000"
"92","AL","Paripueira","57935-000"
"93","AL","Passo de Camaragibe","57930-000"
"94","AL","Paulo Jacinto","57740-000"
"95","AL","Penedo","57200-000"
"96","AL","Piaçabuçu","57210-000"
"97","AL","Pilar","57150-000"
"98","AL","Pindoba","57720-000"
"99","AL","Piranhas","57460-000"
"100","AL","Poço das Trincheiras","57510-000"
"101","AL","Porto Calvo","57900-000"
"102","AL","Porto de Pedras","57945-000"
"103","AL","Porto Real do Colégio","57290-000"
"104","AL","Quebrangulo","57750-000"
"105","AL","Rio Largo","57100-000"
"106","AL","Roteiro","57257-000"
"107","AL","Santa Luzia do Norte","57130-000"
"108","AL","Santana do Ipanema","57500-000"
"109","AL","Santana do Mundaú","57840-000"
"110","AL","São Brás","57380-000"
"111","AL","São José da Laje","57860-000"
"112","AL","São José da Tapera","57445-000"
"113","AL","São Luís do Quitunde","57920-000"
"114","AL","São Miguel dos Campos","57240-001"
"115","AL","São Miguel dos Milagres","57940-000"
"116","AL","São Sebastião","57275-000"
"117","AL","Satuba","57120-000"
"118","AL","Senador Rui Palmeira","57515-000"
"119","AL","Tanque D'Arca","57635-000"
"120","AL","Taquarana","57640-000"
"121","AL","Teotônio Vilela","57265-000"
"122","AL","Traipu","57370-000"
"123","AL","União dos Palmares","57800-000"
"124","AL","Viçosa","57700-000"
"125","AM","Alvarães","69540-000"
"126","AM","Amaturá","69620-000"
"127","AM","Anamã","69445-000"
"128","AM","Anori","69440-000"
"129","AM","Apuí","69265-000"
"130","AM","Atalaia do Norte","69650-000"
"131","AM","Autazes","69240-000"
"132","AM","Barcelos","69700-000"
"133","AM","Barreirinha","69160-000"
"134","AM","Benjamin Constant","69630-000"
"135","AM","Beruri","69430-000"
"136","AM","Boa Vista do Ramos","69195-000"
"137","AM","Boca do Acre","69850-000"
"138","AM","Borba","69200-000"
"139","AM","Caapiranga","69425-000"
"140","AM","Canutama","69820-000"
"141","AM","Carauari","69500-000"
"142","AM","Careiro","69250-000"
"143","AM","Careiro da Várzea","69255-000"
"144","AM","Coari","69460-000"
"145","AM","Codajás","69450-000"
"146","AM","Eirunepé","69880-000"
"147","AM","Envira","69870-000"
"148","AM","Fonte Boa","69670-000"
"149","AM","Guajará","69895-000"
"150","AM","Humaitá","69800-000"
"151","AM","Ipixuna","69890-000"
"152","AM","Iranduba","69415-000"
"153","AM","Itacoatiara","69100-001"
"154","AM","Itamarati","69510-000"
"155","AM","Itapiranga","69120-000"
"156","AM","Japurá","69495-000"
"157","AM","Juruá","69520-000"
"158","AM","Jutaí","69660-000"
"159","AM","Lábrea","69830-000"
"160","AM","Manacapuru","69400-001"
"161","AM","Manaquiri","69435-000"
"162","AM","Manaus","69000-001"
"163","AM","Manicoré","69280-000"
"164","AM","Maraã","69490-000"
"165","AM","Maués","69190-000"
"166","AM","Nhamundá","69140-000"
"167","AM","Nova Olinda do Norte","69230-000"
"168","AM","Novo Airão","69730-000"
"169","AM","Novo Aripuanã","69260-000"
"170","AM","Parintins","69150-001"
"171","AM","Pauini","69860-000"
"172","AM","Presidente Figueiredo","69735-000"
"173","AM","Rio Preto da Eva","69117-000"
"174","AM","Santa Isabel do Rio Negro","69740-000"
"175","AM","Santo Antônio do Içá","69680-000"
"176","AM","São Gabriel da Cachoeira","69750-000"
"177","AM","São Paulo de Olivença","69600-000"
"178","AM","São Sebastião do Uatumã","69135-000"
"179","AM","Silves","69114-000"
"180","AM","Tabatinga","69640-000"
"181","AM","Tapauá","69480-000"
"182","AM","Tefé","69550-001"
"183","AM","Tonantins","69685-000"
"184","AM","Uarini","69530-000"
"185","AM","Urucará","69130-000"
"186","AM","Urucurituba","69180-000"
"187","AP","Amapá","68950-000"
"188","AP","Calçoene","68960-000"
"189","AP","Cutias","68973-000"
"190","AP","Ferreira Gomes","68915-000"
"191","AP","Itaubal","68976-000"
"192","AP","Laranjal do Jari","68920-000"
"193","AP","Macapá","68900-001"
"194","AP","Mazagão","68940-000"
"195","AP","Oiapoque","68980-000"
"196","AP","Pedra Branca do Amaparí","68945-000"
"197","AP","Porto Grande","68997-000"
"198","AP","Pracuúba","68918-000"
"199","AP","Santana","68925-001"
"200","AP","Serra do Navio","68948-000"
"201","AP","Tartarugalzinho","68990-000"
"202","AP","Vitória do Jari","68924-000"
"203","BA","Abaíra","46690-000"
"204","BA","Abaré","48680-000"
"205","BA","Acajutiba","48360-000"
"206","BA","Adustina","48435-000"
"207","BA","Água Fria","48170-000"
"208","BA","Aiquara","45220-000"
"209","BA","Alagoinhas","48000-001"
"210","BA","Alcobaça","45910-000"
"211","BA","Almadina","45640-000"
"212","BA","Amargosa","45300-000"
"213","BA","Amélia Rodrigues","44230-000"
"214","BA","América Dourada","44910-000"
"215","BA","Anagé","45180-000"
"216","BA","Andaraí","46830-000"
"217","BA","Andorinha","48990-000"
"218","BA","Angical","47960-000"
"219","BA","Anguera","44670-000"
"220","BA","Antas","48420-000"
"221","BA","Antônio Cardoso","44180-000"
"222","BA","Antônio Gonçalves","44780-000"
"223","BA","Aporá","48350-000"
"224","BA","Apuarema","45355-000"
"225","BA","Araçás","48108-000"
"226","BA","Aracatu","46130-000"
"227","BA","Araci","48760-000"
"228","BA","Aramari","48130-000"
"229","BA","Arataca","45695-000"
"230","BA","Aratuípe","44490-000"
"231","BA","Aurelino Leal","45675-000"
"232","BA","Baianópolis","47830-000"
"233","BA","Baixa Grande","44620-000"
"234","BA","Banzaê","48405-000"
"235","BA","Barra","47100-000"
"236","BA","Barra da Estiva","46650-000"
"237","BA","Barra do Choça","45120-000"
"238","BA","Barra do Mendes","44990-000"
